CSICode,Eco,Notes,Description,Unit,Crew,Daily Output,Labor Hours,Bare Material,Bare Labor,Bare Equipment,Bare Total,Total O&P,Hourly Oper. Cost,Rent Per Day,Rent Per Week,Rent Per Month,COV
053113505400,,,"Metal floor decking, steel, non-cellular, composite, galvanized, 2"" D, 18 gauge",S.F.,E4,3380.00,0.009,4.71,0.62,0.04,5.37,6.19,,,,,0.3
053113505500,,,"Metal floor decking, steel, non-cellular, composite, galvanized, 2"" D, 16 gauge",S.F.,E4,3200.00,0.010,6.24,0.65,0.04,6.93,7.93,,,,,0.3
053113505700,,,"Metal floor decking, steel, non-cellular, composite, galvanized, 3"" D, 22 gauge",S.F.,E4,3200.00,0.010,3.38,0.65,0.04,4.07,4.80,,,,,0.3
053113505800,,,"Metal floor decking, steel, non-cellular, composite, galvanized, 3"" D, 20 gauge",S.F.,E4,3000.00,0.011,4.88,0.68,0.04,5.60,6.53,,,,,0.3
053113505900,,,"Metal floor decking, steel, non-cellular, composite, galvanized, 3"" D, 18 gauge",S.F.,E4,2850.00,0.011,4.71,0.72,0.04,5.47,6.39,,,,,0.3
053113506000,,,"Metal floor decking, steel, non-cellular, composite, galvanized, 3"" D, 16 gauge",S.F.,E4,2700.00,0.012,7.09,0.76,0.06,7.91,9.08,,,,,0.3
060505103202,,,"Selective Demolition, wood framing, colums, Dimensional lumber sizes",M.B.F.,2 Clab,1.10,14.545,,552.16,,552.16,839.84,,,,,0.3
060505105660,,,"Selective demolition, wood framing, T&G floor planks",M.B.F.,2 Clab,2.00,8.000,,306.24,,306.24,459.36,,,,,0.3
061523000000,,CLT panel - costs from: The Value Proposition for Cross-Laminated Timber Figure 13,"Laminated wood decking, CLT floor/roof, includes fire proofing and acoustical treatment",S.F.,F3,,0.015,10.05,4.35,0.60,1,1.3,,,,,0.3
061813204400,,,"Columns, including hardware",M.B.F.,F3,2.00,20.000,3601.13,975.45,335.83,4912.41,5802.86,,,,,0.3
033113705620,,,"Structural concrete, placing, by walking cart, 150' haul, excludes material, add to placing costs above",C.Y.,C18,24.00,0.375,,14.31,3.44,17.75,25.48,,,,,0.3
030130620100,,,"Patching concrete, Floors, 1/4"" thick, small areas, regular grout",S.F.,1 Cefi,170.00,0.047,1.66,2.16,,3.82,5.03,,,,,0.3
030130620150,,,"Patching concrete, floors, small area, epoxy grout, 1/4"" thick, Epoxy grout",S.F.,1 Cefi,100.00,0.080,9.42,3.68,,13.10,15.79,,,,,0.3
030130622100,,,"Patching concrete, Walls, including chipping, cleaning and epoxy grout, 1/4” deep",S.F.,1 Cefi,65.00,0.123,9.26,5.64,,14.90,18.55,,,,,0.3
030130622150,,,"Patching concrete, Walls, including chipping, cleaning and epoxy grout, 1/2"" deep",S.F.,1 Cefi,50.00,0.160,18.52,7.33,,25.85,31.22,,,,,0.3
030130622200,,,"Patching concrete, Walls, including chipping, cleaning and epoxy grout, 3/4"" deep",S.F.,1 Cefi,40.00,0.200,28.00,9.21,,37.21,44.27,,,,,0.3
031113355500,,,"C.I.P. concrete forms, elevated slab, box-out for shallow slab openings, to 10 S.F., includes shoring, erecting, bracing, stripping and cleaning",Ea.,C2,42.00,1.143,15.40,53.36,,68.76,97.73,,,,,0.3
